2003,177,1,1,3.8613,167.86,13.59,0.26714,-0.079155,0,1.336
2003,185,1,1,4.5784,261.82,16.53,0.33143,-0.086219,0,2.6222
2003,193,1,1,4.1846,245.12,17.7,0.43,-0.082646,0,3.3795
2003,201,1,1,4.4878,167.42,14.77,0.41143,-0.068456,0,2.4132
2003,209,1,1,4.2463,218.86,15.79,0.66556,-0.068771,0,4.1578
2003,217,1,1,3.6605,196.85,22.53,0.76889,-0.075415,0,4.0089
2003,225,1,1,2.5294,102.72,13.02,0.60144,-0.074158,0,2.2464
2003,233,1,1,1.5489,111.17,7.99,0.56889,-0.071696,0,2.0001
2003,241,1,1,0.84347,105.05,8.15,0.56571,0.0030929,0,2.5585
2003,249,1,1,0,47.321,3.95,0.35531,-0.16433,0,0.2928
2004,185,1,1,3.7933,197.5,17.75,0.41833,-0.09585,0,2.7507
2004,193,1,1,3.4164,230.98,12.17,0.46111,-0.086355,0,3.0407
2004,201,1,1,3.4418,177.88,15.1,0.51111,-0.092771,0,2.8936
2004,209,1,1,3.1568,109.57,16.68,0.58267,-0.090807,0,2.3536
2004,217,1,1,3.0904,156.98,18.34,0.56889,-0.094223,0,3.0227
2004,225,1,1,2.3605,153.03,21.92,0.63111,-0.10032,0,3.2022
2004,233,1,1,2.0145,155.29,13.02,0.60222,-0.10438,0,2.6314
2004,241,1,1,0.83755,89.645,8.61,0.56333,-0.13079,0,1.3008
2004,249,1,1,0.51933,63.903,10.91,0.46,-0.1534,0,0.87198
2005,177,1,1,4.3717,322.43,19.21,0.46333,-0.10929,0,3.9129
2005,185,1,1,4.0824,227.57,21.93,0.55333,-0.10464,0,3.9546
2005,193,1,1,4.7555,234.29,16.67,0.56556,-0.098625,0,3.8073
2005,201,1,1,4.4361,145.58,16.53,0.52558,-0.08919,0,2.6757
2005,209,1,1,3.7155,140.48,18.98,0.61111,-0.086303,0,3.003
2005,217,1,1,2.9889,109.32,5.82,0.62769,-0.093402,0,1.749
2005,225,1,1,2.066,121.63,15.51,0.48444,-0.074158,0,2.2834
2006,177,1,1,2.3671,192.12,12.45,0.32667,-0.092269,0,1.7759
2006,185,1,1,4.2483,241.62,21.19,0.43444,-0.085212,0,3.5865
2006,193,1,1,3.2471,159.68,21,0.52778,-0.082807,0,3.2001
2006,201,1,1,2.9409,136.6,13.87,0.45667,-0.05156,0,2.4061
2006,209,1,1,2.7066,124.34,9.43,0.58267,-0.059488,0,2.4048
2006,217,1,1,2.532,99.001,16.32,0.62769,-0.069954,0,2.4588
2006,225,1,1,1.9651,109.49,12.42,0.61,-0.073055,0,2.3233
2006,233,1,1,1.4901,68.398,11.25,0.55436,-0.086428,0,1.5552
2007,185,1,1,5.0136,243.21,12.98,0.51556,-0.076967,0,3.6276
2007,193,1,1,3.0771,133.96,16.62,0.47778,-0.063839,0,2.5571
2007,201,1,1,4.2406,201.33,19.9,0.53778,-0.055235,0,4.0085
2007,209,1,1,3.3109,173.82,23.81,0.57444,-0.044573,0,4.1416
2007,217,1,1,2.6126,113.66,14.35,0.61444,-0.075415,0,2.4776
2007,225,1,1,2.5245,127.62,18.04,0.61,-0.032249,0,3.3435
2007,233,1,1,1.8852,98.327,13.74,0.5475,-0.086428,0,2.0103
2007,241,1,1,1.0932,97.888,12.53,0.48286,-0.079808,0,1.7861
2007,249,1,1,0.62287,79.86,7.2,0.35778,-0.05806,0,0.94267
2007,257,1,1,0.4371,48.064,3.96,0.2125,-0.1003,0,0.16041
2008,121,1,1,0,244.13,-5.45,0,0.32917,0,-0.045606
2008,129,1,1,0,232.09,-4.91,0,0.39381,0,0.005863
2008,137,1,1,0,221.49,-3.22,0,0.48841,0,0.085868
2008,145,1,1,1.2079,233.45,1.34,0.032,0.45735,0,0.21496
2008,153,1,1,0,215.14,-2.52,0.148,0.32078,0,0.68624
2008,161,1,1,0.92116,204.74,4.49,0.29,-0.027214,0,1.411
2008,169,1,1,0.83663,241.69,11.41,0.225,-0.064139,0,1.4314
2008,177,1,1,1.6569,249.29,10.22,0.335,-0.083733,0,2.1524
2008,185,1,1,3.0103,183.29,11.27,0.33667,-0.085196,0,1.7357
2008,193,1,1,4.011,278.59,16.47,0.38667,-0.079893,0,3.2104
2008,201,1,1,3.7235,182.23,15.84,0.48778,-0.067632,0,3.1204
2008,209,1,1,4.4051,160.75,11.2,0.56,-0.049245,0,3.0395
2008,217,1,1,4.7684,227.9,17.33,0.61222,-0.05315,0,4.4653
2008,225,1,1,4.5083,223.08,19.91,0.65222,-0.059061,0,4.5825
2008,233,1,1,2.5921,126.72,16.62,0.66556,-0.065935,0,2.9361
2008,241,1,1,1.4552,95.474,5.59,0.448,-0.059381,0,1.36
2008,249,1,1,0,67.899,0.66,0.4,-0.10556,0,0.52628
2008,257,1,1,0.43882,70.346,3.82,0.45875,-0.11446,0,0.79552
2009,121,1,1,0,239.27,-6.8,0,0.31233,0,-0.074764
2009,129,1,1,0,272.4,-10.33,0,0.32046,0,-0.070701
2009,137,1,1,0,229.43,-2.37,0,0.41583,0,0.038248
2009,145,1,1,0,257.56,-3.73,0.05614,0.44134,0,0.27248
2009,153,1,1,0.93786,208.28,5.24,0.1325,0.15139,0,0.7034
2009,161,1,1,0.75861,202.87,12.44,0.20889,-0.067801,0,1.1545
2009,169,1,1,0.97399,193.25,11.6,0.28429,-0.08583,0,1.4813
2009,177,1,1,2.4974,258.89,19.79,0.38667,-0.081096,0,3.3002
2009,185,1,1,4.4568,214.21,11.99,0.44556,-0.069871,0,2.9115
